added_date,modified_date,agency_id,company_id,reservation_id,created_date,rate_offers,lqr,booking_source,check_in,check_out,nights,hotel_name,hotel_latitude,hotel_longitude,hotel_brand_code,hotel_brand_name,hotel_chain_name,hotel_chain_ticker_symbol,hotel_stars,hotel_address,hotel_city,hotel_state,hotel_postal_code,hotel_country,nightly_rate_usd,total_cost_usd,nightly_rate_native,total_cost_native,currency_code,start_commission_info,start_cancel_policy,start_rate_type,start_room_type,start_bed_type,start_amenities,gic_sector,cancel_date
2022-12-05 04:00:00 +0000,2022-12-05 04:00:00 +0000,FEF27FB57F8C442E1A6F6EECD6F5BAEF455F6AF1,FAD896789AA447D841121B5ECA47CC59CE01CFF4,FCD524B817B7F62DD7729112B2F0733AC8A26E16,2022-12-04,0,0.0,Apollo,2023-01-18,2023-01-19,1,Chicago-Hyatt Place Chicago Downtown River North,41.89085,-87.63057,HY,Hyatt Hotels And Resorts,Hyatt,H,3.0,66 West Illinois Street,Chicago,IL,60654,US,131.58,131.58,131.58,131.58,USD,Commissionable,1 Day Before Checkin,Flat,,"King,","Free Wifi,",Communication Services,
2022-12-05 04:00:00 +0000,2022-12-05 04:00:00 +0000,FEF27FB57F8C442E1A6F6EECD6F5BAEF455F6AF1,2348F953E1AB7F68C2AE2E3B70CA6EBD66896727,FC570AC8A470A7B2E8EDFB7BBFFF444E24A06BD9,2022-12-04,0,0.0,Apollo,2022-12-05,2022-12-06,1,Hot Springs-Doubletree By Hilton Hot Springs,34.4434,-93.0886,DT,Doubletree Hotels,Hilton,HLT,3.0,4813 Central Avenue,Hot Springs,AR,71913,US,119.0,119.0,119.0,119.0,USD,Commissionable,Not Cancellable,Consortia,Standard,"Two Queen,",,,
2022-12-05 04:00:00 +0000,2022-12-05 04:00:00 +0000,FEF27FB57F8C442E1A6F6EECD6F5BAEF455F6AF1,9DFEE1C894790CE7C79B942737189FC826CDB72F,FC5562D174B3CE417B7CC53BAB646D058964CEDF,2022-12-04,0,0.0,Apollo,2022-12-05,2022-12-06,1,Newark-Embassy Suites Newark  Wilmingtonsouth,39.6595,-75.75294,ES,Embassy Suites,Hilton,HLT,3.0,654 South College Avenue,Newark,DE,19713,US,155.0,155.0,155.0,155.0,USD,,Day Of Checkin,Standard,,,,Energy,
2022-12-05 04:00:00 +0000,2022-12-05 04:00:00 +0000,FEF27FB57F8C442E1A6F6EECD6F5BAEF455F6AF1,8E4511B170435DDBD6E8FA05C132E04007845148,FAE08C92904E18E356963694D1307D3DAE15FD3C,2022-12-04,0,0.0,Apollo,2022-12-05,2022-12-07,2,Indianapolis-Wingate By Wyndham Indianapolis Airport-Rockville Rd.,39.76392,-86.26097,WG,Wingate Inns,Wyndham,WH.N,2.5,5797 Rockville Road,Indianapolis,IN,46224,US,92.65,185.3,92.65,185.3,USD,Commissionable,1 Day Before Checkin,Consortia,Standard,"King,","Free Wifi, Free Breakfast,",,
2022-12-05 04:00:00 +0000,2022-12-05 04:00:00 +0000,FEF27FB57F8C442E1A6F6EECD6F5BAEF455F6AF1,9DFEE1C894790CE7C79B942737189FC826CDB72F,F91ED2E22F6BF80C799B8422674D8F08435F9BE4,2022-12-04,0,0.0,Apollo,2022-12-04,2022-12-05,1,Price-Holiday Inn Express & Suites Price,39.60396,-110.83372,EX,Holiday Inn Express,Ihg,IHG,2.5,925 Westwood Boulevard,Price,UT,84501,US,128.14,128.14,128.14,128.14,USD,Non-commissionable,Day Of Checkin,Flat,Suite,,"Free Wifi, Free Breakfast,",Energy,
2022-12-05 04:00:00 +0000,2022-12-05 04:00:00 +0000,FEF27FB57F8C442E1A6F6EECD6F5BAEF455F6AF1,2E299D1C537E00CF3D2E6244747A07138F257993,F8A9979F9D3C5E012F3ECB22FD3E64034691CF03,2022-12-04,0,0.0,Apollo,2022-12-05,2022-12-07,2,Bothell-Residence Inn Seattle Northeast/Bothell,47.76913,-122.18086,RC,Residence Inn By Marriott,Marriott,MAR,3.0,11920 Ne 195th Street,Bothell,WA,98011,US,152.0,304.0,152.0,304.0,USD,Commissionable,2 Days Before Checkin,AAA,,"King,",,Information Technology,
2022-12-05 09:00:00 +0000,2022-12-05 09:00:00 +0000,FEF27FB57F8C442E1A6F6EECD6F5BAEF455F6AF1,9DFEE1C894790CE7C79B942737189FC826CDB72F,F778CE91527203247137192A81C7F92E24A96D6F,2022-12-04,0,0.0,Apollo,2022-12-04,2022-12-05,1,Columbus-Hilton Garden Inn Columbus,32.53544,-84.97603,GI,Hilton Garden Inn,Hilton,HLT,3.0,1500 Bradley Lakes Boulevard,Columbus,GA,31904,US,95.92,95.92,95.92,95.92,USD,Non-Commissionable,Not Cancellable,Flat,,"King,","Free Wifi,",Energy,
2022-12-05 04:00:00 +0000,2022-12-05 04:00:00 +0000,FEF27FB57F8C442E1A6F6EECD6F5BAEF455F6AF1,54189A6735ECA523A9EFEBFC8C0CCD3075371B6C,F693653024843E00F455B3D7EC3D045B65391FA7,2022-12-04,0,0.0,Apollo,2022-12-05,2022-12-07,2,Clovis-Home2 Suites By Hilton Clovis,34.4425,-103.1948,HT,Home2suites,Hilton,HLT,3.0,224-b Fairway Terrace,Clovis,NM,88101,US,189.5,379.0,189.5,379.0,USD,Commissionable,1 Day Before Checkin,Flat,,"King,","Free Wifi, Free Breakfast,",Health Care,
2022-12-05 04:00:00 +0000,2022-12-05 04:00:00 +0000,FEF27FB57F8C442E1A6F6EECD6F5BAEF455F6AF1,9DFEE1C894790CE7C79B942737189FC826CDB72F,F2AEB65F86A444ADD8539A0F7DCCBD44AE218502,2022-12-04,0,0.0,Apollo,2022-12-06,2022-12-07,1,Sisters-Best Western Ponderosa Lodge,44.29644,-121.5581,BW,Best Western International,Best Western,,2.0,500 Highway 20 W,Sisters,OR,97759,US,153.09,153.09,153.09,153.09,USD,Non-commissionable,1 Day Before Checkin,Flat,Suite,"King,","Free Breakfast,",Energy,
2022-12-05 04:00:00 +0000,2023-02-20 04:00:12 +0000,FEF27FB57F8C442E1A6F6EECD6F5BAEF455F6AF1,FAD896789AA447D841121B5ECA47CC59CE01CFF4,EFC470184BAC56B1A1DBFF21D3AB85A1EACB311D,2022-12-04,0,126.9,Apollo,2023-02-21,2023-02-22,1,Chicago-Hyatt Place Chicago Downtown River North,41.890995,-87.630693,HY,Hyatt Hotels and Resorts,Hyatt,H,3.0,66 West Illinois Street,Chicago,IL,60654,US,148.78,148.78,148.78,148.78,USD,Commissionable,1 Day Before Checkin,Flat,,"King,","Free Wifi,",Communication Services,2023-02-19
